\(\text{\ding{51}}^1\),✓¹
\(\text{\ding{51}}^2\),✓²
\(\text{\ding{51}}^3\),✓³
\(\text{\ding{51}}^4\),✓⁴
\(\text{\ding{51}}^5\),✓⁵
\(\text{\ding{51}}^6\),✓⁶
\(\text{max. }T_j\),Tⱼ
\(\text{max. }t_j\),tⱼ
\text{score}_{jW}^s,scoreⱼWˢ
\wt\beta_{1W},β̃₁W
\text{mother}_j,motherⱼ
\textit{etc.}, {it:etc.}
\text{male}_i, maleᵢ
\widehat R_{it}, Ȓᵢt
\widehat R_{kt}, Ȓkt
\underline D_{ik}, Ḏᵢk
\widehat R_{i3}, Ȓᵢ3
\widehat R_{k3}, Ȓk3
N_{it}, Nᵢt
N_j, Nⱼ
#,×
\Phi,Φ
\cdot,·
\beta,β
\prime,′
\chi,χ
_0,₀
_1,₁
_2,₂
_3,₃
_4,₄
_5,₅
_6,₆
_j,ⱼ
_{jP},ⱼP
_{jW},ⱼW
_{1P},₁P
_{0P},₀P
_{1W},₁W
_{it},ᵢt
\textit{,{it:
^2,²
^,
$$,
$,
~\autoref{, {bf:
\autoref{, {bf:
~\aref{, {bf:
\aref{, {bf:
\&,&
~\citet{," {bf:"
~\citep{," {bf:"
 . ,   
 .,  
\(,
\),
},} 
