AuthorID,Year,BirthOrder
46,2005,1
46,2008,1
115,2003,1
115,2005,1
7279,1982,1
215,2007,1
215,2010,1
228,1997,1
228,1987,1
228,1995,1
241,2007,1
241,2010,1
335,1970,1
451,2010,1
219,2011,1
219,2013,1
6269,1968,1
6269,1968,2
4351,2012,1
1669,2012,1
246,1987,1
246,1991,1
339,2003,1
339,2005,1
344,2006,1
350,1986,1
350,1992,1
6304,1982,1
6304,1986,1
6304,1988,1
196,2005,1
196,2009,1
212,1994,1
212,1996,1
8623,2013,1
8623,2016,1
4196,2012,1
4314,2000,1
4314,2004,1
4314,2011,1
4619,1996,1
4619,1996,2
5006,2009,1
5006,2011,1
7269,1990,1
5538,2006,1
5538,2004,1
6747,1990,1
6747,1992,1
748,2001,1
748,2003,1
7459,1997,1
7459,2001,1
6715,1975,1
6715,1980,1
6715,1984,1
6499,1956,1
7381,1994,1
7381,1996,1
2657,1987,1
4376,2012,1
4376,2014,1
6474,1934,1
6474,1937,1
5083,1998,1
5083,2000,1
219,2009,1
219,2009,2
7409,1988,1
7409,1993,1
6859,1966,1
6859,1965,1
6604,1995,1
6604,1995,2
3398,2008,1
3398,2010,1
1849,1979,1
1849,1981,1
1516,2000,1
